packageName,url,funcInfo
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,"func Encode(location string, v interface{}, sep ...string) string"
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,"func ExtractHeader(header string, resp *http.Response) []string"
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,"func ExtractHeaderValue(header string, resp *http.Response) string"
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,func GetLocation(resp *http.Response) string
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,"func GetRetryAfter(resp *http.Response, defaultDelay time.Duration) time.Duration"
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,func IsTemporaryNetworkError(err error) bool
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,func IsTokenRefreshError(err error) bool
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,func MapToValues(m map[string]interface{}) url.Values
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,"func NewPollingRequest(resp *http.Response, cancel <-chan struct{}) (*http.Request, error)"
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,"func NewPollingRequestWithContext(ctx context.Context, resp *http.Response) (*http.Request, error)"
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,"func Prepare(r *http.Request, decorators ...PrepareDecorator) (*http.Request, error)"
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,"func Respond(r *http.Response, decorators ...RespondDecorator) error"
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,"func ResponseHasStatusCode(resp *http.Response, codes ...int) bool"
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,"func Send(r *http.Request, decorators ...SendDecorator) (*http.Response, error)"
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,"func SendWithSender(s Sender, r *http.Request, decorators ...SendDecorator) (*http.Response, error)"
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,"func String(v interface{}, sep ...string) string"
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,"func TeeReadCloser(rc io.ReadCloser, w io.Writer) io.ReadCloser"
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,func UserAgent() string
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,func Version() string
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,"func WithPrepareDecorators(ctx context.Context, prepareDecorator []PrepareDecorator) context.Context"
autorest (github.com/Azure/go-autorest/autorest),/github.com/Azure/go-autorest/autorest,"func WithSendDecorators(ctx context.Context, sendDecorator []SendDecorator) context.Context"
resty (github.com/go-resty/resty/v2),/github.com/go-resty/resty/v2,"func Backoff(operation func() (*Response, error), options ...Option) error"
resty (github.com/go-resty/resty/v2),/github.com/go-resty/resty/v2,func DetectContentType(body interface{}) string
resty (github.com/go-resty/resty/v2),/github.com/go-resty/resty/v2,func IsJSONType(ct string) bool
resty (github.com/go-resty/resty/v2),/github.com/go-resty/resty/v2,func IsStringEmpty(str string) bool
resty (github.com/go-resty/resty/v2),/github.com/go-resty/resty/v2,func IsXMLType(ct string) bool
resty (github.com/go-resty/resty/v2),/github.com/go-resty/resty/v2,"func Unmarshalc(c *Client, ct string, b []byte, d interface{}) (err error)"
gin (github.com/gin-gonic/gin),/github.com/gin-gonic/gin,"func CreateTestContext(w http.ResponseWriter) (c *Context, r *Engine)"
gin (github.com/gin-gonic/gin),/github.com/gin-gonic/gin,"func Dir(root string, listDirectory bool) http.FileSystem"
gin (github.com/gin-gonic/gin),/github.com/gin-gonic/gin,func DisableBindValidation()
gin (github.com/gin-gonic/gin),/github.com/gin-gonic/gin,func DisableConsoleColor()
gin (github.com/gin-gonic/gin),/github.com/gin-gonic/gin,func EnableJsonDecoderDisallowUnknownFields()
gin (github.com/gin-gonic/gin),/github.com/gin-gonic/gin,func EnableJsonDecoderUseNumber()
gin (github.com/gin-gonic/gin),/github.com/gin-gonic/gin,func ForceConsoleColor()
gin (github.com/gin-gonic/gin),/github.com/gin-gonic/gin,func IsDebugging() bool
gin (github.com/gin-gonic/gin),/github.com/gin-gonic/gin,func Mode() string
gin (github.com/gin-gonic/gin),/github.com/gin-gonic/gin,func SetMode(value string)
fiber (github.com/gofiber/fiber/v2),/github.com/gofiber/fiber/v2,func GetTrimmedParam(param string) string
fiber (github.com/gofiber/fiber/v2),/github.com/gofiber/fiber/v2,func IsChild() bool
fiber (github.com/gofiber/fiber/v2),/github.com/gofiber/fiber/v2,func ReleaseAgent(a *Agent)
fiber (github.com/gofiber/fiber/v2),/github.com/gofiber/fiber/v2,func ReleaseArgs(a *Args)
fiber (github.com/gofiber/fiber/v2),/github.com/gofiber/fiber/v2,func ReleaseClient(c *Client)
fiber (github.com/gofiber/fiber/v2),/github.com/gofiber/fiber/v2,func ReleaseFormFile(ff *FormFile)
fiber (github.com/gofiber/fiber/v2),/github.com/gofiber/fiber/v2,func ReleaseResponse(resp *Response)
fiber (github.com/gofiber/fiber/v2),/github.com/gofiber/fiber/v2,func RemoveEscapeChar(word string) string
fiber (github.com/gofiber/fiber/v2),/github.com/gofiber/fiber/v2,func SetParserDecoder(parserConfig ParserConfig)
fasthttp (github.com/valyala/fasthttp),/github.com/valyala/fasthttp,func AcquireTimer(timeout time.Duration) *time.Timer
fasthttp (github.com/valyala/fasthttp),/github.com/valyala/fasthttp,"func AppendBrotliBytes(dst, src []byte) []byte"
fasthttp (github.com/valyala/fasthttp),/github.com/valyala/fasthttp,"func AppendBrotliBytesLevel(dst, src []byte, level int) []byte"
fasthttp (github.com/valyala/fasthttp),/github.com/valyala/fasthttp,"func AppendDeflateBytes(dst, src []byte) []byte"
fasthttp (github.com/valyala/fasthttp),/github.com/valyala/fasthttp,"func AppendDeflateBytesLevel(dst, src []byte, level int) []byte"
fasthttp (github.com/valyala/fasthttp),/github.com/valyala/fasthttp,"func AppendGunzipBytes(dst, src []byte) ([]byte, error)"
fasthttp (github.com/valyala/fasthttp),/github.com/valyala/fasthttp,"func AppendGzipBytes(dst, src []byte) []byte"
fasthttp (github.com/valyala/fasthttp),/github.com/valyala/fasthttp,"func AppendGzipBytesLevel(dst, src []byte, level int) []byte"
fasthttp (github.com/valyala/fasthttp),/github.com/valyala/fasthttp,"func AppendHTMLEscape(dst []byte, s string) []byte"
fasthttp (github.com/valyala/fasthttp),/github.com/valyala/fasthttp,"func AppendHTMLEscapeBytes(dst, s []byte) []byte"
fasthttp (github.com/valyala/fasthttp),/github.com/valyala/fasthttp,"func AppendHTTPDate(dst []byte, date time.Time) []byte"
fasthttp (github.com/valyala/fasthttp),/github.com/valyala/fasthttp,"func AppendIPv4(dst []byte, ip net.IP) []byte"
fasthttp (github.com/valyala/fasthttp),/github.com/valyala/fasthttp,"func AppendInflateBytes(dst, src []byte) ([]byte, error)"
